"index","input","target"
"1361","public final String toString() {StringBuilder sb = new StringBuilder();String recordName = getRecordName();sb.append(""["").append(recordName).append(""]\n"");sb.append(""    .row    = "").append(HexDump.shortToHex(getRow())).append(""\n"");sb.append(""    .col    = "").append(HexDump.shortToHex(getColumn())).append(""\n"");sb.append(""    .xfindex= "").append(HexDump.shortToHex(getXFIndex())).append(""\n"");appendValueText(sb);sb.append(""\n"");sb.append(""[/"").append(recordName).append(""]\n"");return sb.toString();}
public IllegalFormatCodePointException(int c) {this.c = c;}
public CharSequence toQueryString(EscapeQuerySyntax escapeSyntaxParser) {return ""@"" + this.schema + "":'"" + this.value + ""'"";}
public ValueEval evaluate(ValueEval[] args, OperationEvaluationContext ec) {if (args.length != 2) {return ErrorEval.VALUE_INVALID;}try {double startDateAsNumber = NumericFunction.singleOperandEvaluate(args[0], ec.getRowIndex(), ec.getColumnIndex());int months = (int) NumericFunction.singleOperandEvaluate(args[1], ec.getRowIndex(), ec.getColumnIndex());if (startDateAsNumber >= 0.0 && startDateAsNumber < 1.0) {startDateAsNumber = 1.0;}Date startDate = DateUtil.getJavaDate(startDateAsNumber, false);Calendar cal = LocaleUtil.getLocaleCalendar();cal.setTime(startDate);cal.clear(Calendar.HOUR);cal.set(Calendar.HOUR_OF_DAY, 0);cal.clear(Calendar.MINUTE);cal.clear(Calendar.SECOND);cal.clear(Calendar.MILLISECOND);cal.add(Calendar.MONTH, months + 1);cal.set(Calendar.DAY_OF_MONTH, 1);cal.add(Calendar.DAY_OF_MONTH, -1);return new NumberEval(DateUtil.getExcelDate(cal.getTime()));} catch (EvaluationException e) {return e.getErrorEval();}}","public UnicodeString getSSTString(int str) {if (sst == null) {insertSST();}UnicodeString retval = sst.getString(str);LOG.log(DEBUG, ""Returning SST for index="", str, "" String= "", retval);return retval;}"
"1366","public String quote(String in) {final StringBuilder r = new StringBuilder();r.append('\'');int start = 0, i = 0;for (; i < in.length(); i++) {switch (in.charAt(i)) {case '\'':case '!':r.append(in, start, i);r.append('\'');r.append('\\');r.append(in.charAt(i));r.append('\'');start = i + 1;break;}}r.append(in, start, i);r.append('\'');return r.toString();}
public void clear() {lastElement = 0;currentOffset = 0;Arrays.fill(offsets, 0);pool.reset(false, true); }
public ReplaceableItem(String name, java.util.List<ReplaceableAttribute> attributes) {setName(name);setAttributes(attributes);}
public int getScore() {return score;}","public IrishLowerCaseFilter(TokenStream in) {super(in);}"
"1371","public synchronized void setSecondaryProgress(int secondaryProgress) {if (mIndeterminate) {return;}if (secondaryProgress < 0) {secondaryProgress = 0;}if (secondaryProgress > mMax) {secondaryProgress = mMax;}if (secondaryProgress != mSecondaryProgress) {mSecondaryProgress = secondaryProgress;refreshProgress(R.id.secondaryProgress, mSecondaryProgress, false);}}
public static byte[] grow(byte[] array) {return grow(array, 1 + array.length);}
public List<Token> getHiddenTokensToRight(int tokenIndex) {return getHiddenTokensToRight(tokenIndex, -1);}
public DataValidityTable() {_headerRec = new DVALRecord();_validationList = new ArrayList<>();}","public EvaluationException(ErrorEval errorEval) {_errorEval = errorEval;}"
"1376","public UpdateConfigurationTemplateRequest(String applicationName, String templateName) {setApplicationName(applicationName);setTemplateName(templateName);}
public DescribeAvailabilityZonesResult describeAvailabilityZones(DescribeAvailabilityZonesRequest request) {request = beforeClientExecution(request);return executeDescribeAvailabilityZones(request);}
public static int idealShortArraySize(int need) {return idealByteArraySize(need * 2) / 2;}
public NumericPayloadTokenFilterFactory(Map<String, String> args) {super(args);payload = requireFloat(args, ""payload"");typeMatch = require(args, ""typeMatch"");if (!args.isEmpty()) {throw new IllegalArgumentException(""Unknown parameters: "" + args);}}","public void decode(byte[] blocks, int blocksOffset, long[] values, int valuesOffset, int iterations) {for (int j = 0; j < iterations; ++j) {values[valuesOffset++] = blocks[blocksOffset++] & 0xFF;}}"
"1381","public DescribeResourcePermissionsResult describeResourcePermissions(DescribeResourcePermissionsRequest request) {request = beforeClientExecution(request);return executeDescribeResourcePermissions(request);}
public TokenStream create(TokenStream input) {return map.fst == null ? input : new SynonymFilter(input, map, ignoreCase);}
public List<String> getRuleInvocationStack() {return getRuleInvocationStack(_ctx);}
public void write(String s) {reserve(s.length());s.getChars(0,s.length(),buf, len);len +=s.length();}","public void clear() {map.clear();}"
"1386","public DeleteWorkteamResult deleteWorkteam(DeleteWorkteamRequest request) {request = beforeClientExecution(request);return executeDeleteWorkteam(request);}
public String toString() {return ""("" + a.toString() + "" OR "" + b.toString() + "")"";}
public TreeFilter clone() {final TreeFilter[] s = new TreeFilter[subfilters.length];for (int i = 0; i < s.length; i++)s[i] = subfilters[i].clone();return new List(s);}
public String toString() {StringBuilder buf = new StringBuilder();buf.append(""DiffEntry["");buf.append(changeType);buf.append("" "");switch (changeType) {case ADD:buf.append(newPath);break;case COPY:buf.append(oldPath + ""->"" + newPath);break;case DELETE:buf.append(oldPath);break;case MODIFY:buf.append(oldPath);break;case RENAME:buf.append(oldPath + ""->"" + newPath);break;}buf.append(""]"");return buf.toString();}","public CreateRepositoryResult createRepository(CreateRepositoryRequest request) {request = beforeClientExecution(request);return executeCreateRepository(request);}"
"1391","public static String toHex(String value) {return (value == null || value.length() == 0)? ""[]"": toHex(value.getBytes(LocaleUtil.CHARSET_1252));}
public LineFormatRecord(RecordInputStream in) {field_1_lineColor          = in.readInt();field_2_linePattern        = in.readShort();field_3_weight             = in.readShort();field_4_format             = in.readShort();field_5_colourPaletteIndex = in.readShort();}
public DescribeClusterResult describeCluster(DescribeClusterRequest request) {request = beforeClientExecution(request);return executeDescribeCluster(request);}
public UserAgentConfig getUserAgentConfig() {return userAgentConfig;}","public float getTokenScore() {String termText = termAtt.toString();WeightedTerm queryTerm = termsToFind.get(termText);if (queryTerm == null) {return 0;}if (!uniqueTermsInFragment.contains(termText)) {totalScore += queryTerm.getWeight();uniqueTermsInFragment.add(termText);}return queryTerm.getWeight();}"
"1396","public void clear() {arrays.clear();}
public DescribeEndpointsResult describeEndpoints(DescribeEndpointsRequest request) {request = beforeClientExecution(request);return executeDescribeEndpoints(request);}
public String toString() {return ""PATH(\"""" + pathStr + ""\"")"";}
public DictionaryCompoundWordTokenFilterFactory(Map<String, String> args) {super(args);dictFile = require(args, ""dictionary"");minWordSize = getInt(args, ""minWordSize"", CompoundWordTokenFilterBase.DEFAULT_MIN_WORD_SIZE);minSubwordSize = getInt(args, ""minSubwordSize"", CompoundWordTokenFilterBase.DEFAULT_MIN_SUBWORD_SIZE);maxSubwordSize = getInt(args, ""maxSubwordSize"", CompoundWordTokenFilterBase.DEFAULT_MAX_SUBWORD_SIZE);onlyLongestMatch = getBoolean(args, ""onlyLongestMatch"", true);if (!args.isEmpty()) {throw new IllegalArgumentException(""Unknown parameters: "" + args);}}","public final void writeFloat(float val) throws IOException {writeInt(Float.floatToIntBits(val));}"
"1401","public char[] toCharArray() {char newbuf[] = new char[size()];System.arraycopy(buf, 0, newbuf, 0, size());return newbuf;}
public IntervalSet getExpectedTokens() {if (recognizer != null) {return recognizer.getATN().getExpectedTokens(offendingState, ctx);}return null;}
public HindiNormalizationFilterFactory(Map<String,String> args) {super(args);if (!args.isEmpty()) {throw new IllegalArgumentException(""Unknown parameters: "" + args);}}
public UpdateUserIdentityInfoResult updateUserIdentityInfo(UpdateUserIdentityInfoRequest request) {request = beforeClientExecution(request);return executeUpdateUserIdentityInfo(request);}","public Allocator(int blockSize) {this.blockSize = blockSize;}"
"1406","public NoteMapMerger(Repository db, NoteMerger noteMerger,MergeStrategy nonNotesMergeStrategy) {this.db = db;this.reader = db.newObjectReader();this.inserter = db.newObjectInserter();this.noteMerger = noteMerger;this.nonNotesMergeStrategy = nonNotesMergeStrategy;this.objectIdPrefix = new MutableObjectId();}
public ListAliasesResult listAliases(ListAliasesRequest request) {request = beforeClientExecution(request);return executeListAliases(request);}
public STSAssumeRoleSessionCredentialsProvider withRoleSessionName(String roleSessionName) {this.roleSessionName = roleSessionName;return this;}
public IntList(int capacity) {entries = new int[capacity];}","public Result getResult() {return result;}"
"1411","public int size() {return count;}
public DescribeAccountAttributesResult describeAccountAttributes() {return describeAccountAttributes(new DescribeAccountAttributesRequest());}
public String toString() {return ""G"";}
public StoredField(String name, double value) {super(name, TYPE);fieldsData = value;}","public GroupedFacetResult(int size, int minCount, boolean orderByCount, int totalCount, int totalMissingCount) {this.facetEntries = new TreeSet<>(orderByCount ? orderByCountAndValue : orderByValue);this.totalMissingCount = totalMissingCount;this.totalCount = totalCount;maxSize = size;currentMin = minCount;}"
"1416","public FieldInfo fieldInfo(String fieldName) {return byName.get(fieldName);}
public int regionStart() {return regionStart;}
public int getPort() {return Host.this.getPort();}
public InterruptTimer(String threadName) {state = new AlarmState();autoKiller = new AutoKiller(state);thread = new AlarmThread(threadName, state);thread.start();}","public HighFrequencyDictionary(IndexReader reader, String field, float thresh) {this.reader = reader;this.field = field;this.thresh = thresh;}"
"1421","public ModifyDBProxyTargetGroupResult modifyDBProxyTargetGroup(ModifyDBProxyTargetGroupRequest request) {request = beforeClientExecution(request);return executeModifyDBProxyTargetGroup(request);}
public void close() throws IOException {input.close();}
public void reset() {arriving = -1;leaving = -1;}
public SetLoadBalancerListenerSSLCertificateRequest(String loadBalancerName, Integer loadBalancerPort, String sSLCertificateId) {setLoadBalancerName(loadBalancerName);setLoadBalancerPort(loadBalancerPort);setSSLCertificateId(sSLCertificateId);}","public SpanTermQuery(Term term) {this.term = Objects.requireNonNull(term);this.termStates = null;}"
"1426","public long ramBytesUsed() {long ramBytesUsed = postingsReader.ramBytesUsed();for (TermsReader r : fields.values()) {ramBytesUsed += r.ramBytesUsed();}return ramBytesUsed;}
public boolean equals(Object o) {if (this.getClass() != o.getClass()) return false;DocFreqValueSource other = (DocFreqValueSource)o;return this.indexedField.equals(other.indexedField) && this.indexedBytes.equals(other.indexedBytes);}
public Term getLucenePrefixTerm(String fieldName) {return new Term(fieldName, getPrefix());}
public Collection<ParseTree> evaluate(ParseTree t) {return Trees.findAllTokenNodes(t, tokenType);}","public static Signer getSigner(AlibabaCloudCredentials credentials) {if (credentials instanceof KeyPairCredentials) {return SHA256_WITH_RSA_SIGNER;} else if (credentials instanceof BearerTokenCredentials) {return BEARER_TOKEN_SIGNER;} else {return HMACSHA1_SIGNER;}}"
"1431","public PutAccountSendingAttributesResult putAccountSendingAttributes(PutAccountSendingAttributesRequest request) {request = beforeClientExecution(request);return executePutAccountSendingAttributes(request);}
public static String getExtension(String filename) {final int idx = filename.indexOf('.');if (idx == -1) {return null;} else {return filename.substring(idx + 1, filename.length());}}
public RunJobFlowResult runJobFlow(RunJobFlowRequest request) {request = beforeClientExecution(request);return executeRunJobFlow(request);}
public int lastLength() {return lastLength;}","public ListStreamConsumersResult listStreamConsumers(ListStreamConsumersRequest request) {request = beforeClientExecution(request);return executeListStreamConsumers(request);}"
"1436","public static SimpleFraction buildFractionMaxDenominator(double value, int maxDenominator){return buildFractionMaxDenominator(value, 0, maxDenominator, 100);}
public void seekExact(BytesRef term, TermState state) {throw new IllegalStateException(""this method should never be called"");}
public LsRemoteCommand setUploadPack(String uploadPack) {this.uploadPack = uploadPack;return this;}
public ValueEval evaluate(int srcRowIndex, int srcColumnIndex, ValueEval numberVE) {final String hex;if (numberVE instanceof RefEval) {RefEval re = (RefEval) numberVE;hex = OperandResolver.coerceValueToString(re.getInnerValueEval(re.getFirstSheetIndex()));} else {hex = OperandResolver.coerceValueToString(numberVE);}try {return new NumberEval(BaseNumberUtils.convertToDecimal(hex, HEXADECIMAL_BASE, MAX_NUMBER_OF_PLACES));}  catch (IllegalArgumentException e) {return ErrorEval.NUM_ERROR;}}","public DescribeInstancesResult describeInstances() {return describeInstances(new DescribeInstancesRequest());}"
"1441","public Collection<RevCommit> call() throws GitAPIException,InvalidRefNameException {checkCallable();try {if (repo.exactRef(Constants.R_STASH) == null)return Collections.emptyList();} catch (IOException e) {throw new InvalidRefNameException(MessageFormat.format(JGitText.get().cannotRead, Constants.R_STASH), e);}final ReflogCommand refLog = new ReflogCommand(repo);refLog.setRef(Constants.R_STASH);final Collection<ReflogEntry> stashEntries = refLog.call();if (stashEntries.isEmpty())return Collections.emptyList();final List<RevCommit> stashCommits = new ArrayList<>(stashEntries.size());try (RevWalk walk = new RevWalk(repo)) {for (ReflogEntry entry : stashEntries) {try {stashCommits.add(walk.parseCommit(entry.getNewId()));} catch (IOException e) {throw new JGitInternalException(MessageFormat.format(JGitText.get().cannotReadCommit, entry.getNewId()),e);}}}return stashCommits;}
public void write(LittleEndianOutput out) {out.writeByte(sid + getPtgClass());out.writeByte(field_1_error_code);}
public PutAccountSettingResult putAccountSetting(PutAccountSettingRequest request) {request = beforeClientExecution(request);return executePutAccountSetting(request);}
public static CharacterBuffer newCharacterBuffer(final int bufferSize) {if (bufferSize < 2) {throw new IllegalArgumentException(""buffersize must be >= 2"");}return new CharacterBuffer(new char[bufferSize], 0, 0);}","public int getLevelForDistance(double dist) {if (dist == 0)return maxLevels;for (int i = 0; i < maxLevels-1; i++) {if(dist > levelW[i] && dist > levelH[i]) {return i+1;}}return maxLevels;}"
"1446","public Query makeLuceneQueryFieldNoBoost(String fieldName, BasicQueryFactory qf) {return makeLuceneQueryNoBoost(qf); }
public ListDedicatedIpPoolsResult listDedicatedIpPools(ListDedicatedIpPoolsRequest request) {request = beforeClientExecution(request);return executeListDedicatedIpPools(request);}
public static ValueVector createVector(RefEval re) {return new SheetVector(re);}
public RemoveNoteCommand setObjectId(RevObject id) {checkCallable();this.id = id;return this;}","public int getSheetIndex(String sheetName) {return _uBook.getSheetIndex(sheetName);}"
"1451","public void serialize(LittleEndianOutput out) {out.writeShort(field_1_chartGroupIndex);}
public FontFormatting() {setFontHeight(-1);setItalic(false);setFontWieghtModified(false);setOutline(false);setShadow(false);setStrikeout(false);setEscapementType((short)0);setUnderlineType((byte)0);setFontColorIndex((short)-1);setFontStyleModified(false);setFontOutlineModified(false);setFontShadowModified(false);setFontCancellationModified(false);setEscapementTypeModified(false);setUnderlineTypeModified(false);setShort(OFFSET_FONT_NAME, 0);setInt(OFFSET_NOT_USED1, 0x00000001);setInt(OFFSET_NOT_USED2, 0x00000000);setInt(OFFSET_NOT_USED3, 0x7FFFFFFF);setShort(OFFSET_FONT_FORMATING_END, 0x0001);}
public GetFacetResult getFacet(GetFacetRequest request) {request = beforeClientExecution(request);return executeGetFacet(request);}
public IndexInput clone() {return (IndexInput) super.clone();}","public String toFormulaString(){throw new RuntimeException(""Table and Arrays are not yet supported"");}"
"1456","public StartFleetResult startFleet(StartFleetRequest request) {request = beforeClientExecution(request);return executeStartFleet(request);}
public static FontFamily valueOf(int nativeId) {for (FontFamily ff : values()) {if (ff.nativeId == nativeId) {return ff;}}return null;}
public synchronized boolean isEmpty() {return size == 0;}
public static String encodeBytes(byte[] source) {return encodeBytes(source, 0, source.length);}","public DescribeBackupsResult describeBackups(DescribeBackupsRequest request) {request = beforeClientExecution(request);return executeDescribeBackups(request);}"
"1461","public ReflectionMethodRecordCreator(Method m) {_m = m;}
public static int resolvesToJustOneViableAlt(Collection<BitSet> altsets) {return getSingleViableAlt(altsets);}
public GetGatewayResult getGateway(GetGatewayRequest request) {request = beforeClientExecution(request);return executeGetGateway(request);}
public void onFilterComplete(int count) {updateDropDownForFilter(count);}","public boolean isReadOnly() {return true;}"
"1466","public FreeRefFunction findUserDefinedFunction(String functionName) {return _bookEvaluator.findUserDefinedFunction(functionName);}
public boolean equals(Object obj) {if (!(obj instanceof PrecedencePredicate)) {return false;}if (this == obj) {return true;}PrecedencePredicate other = (PrecedencePredicate)obj;return this.precedence == other.precedence;}
public int getStringWidth(String str){int width = 0;for (int i = 0; i < str.length(); i++){width += getCharWidth(str.charAt(i));}return width;}
public ByteVector(byte[] a) {blockSize = DEFAULT_BLOCK_SIZE;array = a;n = 0;}","public DeleteVerifiedEmailAddressResult deleteVerifiedEmailAddress(DeleteVerifiedEmailAddressRequest request) {request = beforeClientExecution(request);return executeDeleteVerifiedEmailAddress(request);}"
"1471","public DescribeScalingActivitiesResult describeScalingActivities(DescribeScalingActivitiesRequest request) {request = beforeClientExecution(request);return executeDescribeScalingActivities(request);}
public SimpleQueryParser(Analyzer analyzer, String field) {this(analyzer, Collections.singletonMap(field, 1.0F));}
final public SrndQuery AndQuery() throws ParseException {SrndQuery q;ArrayList<SrndQuery> queries = null;Token oprt = null;q = NotQuery();label_3:while (true) {switch ((jj_ntk==-1)?jj_ntk():jj_ntk) {case AND:;break;default:jj_la1[1] = jj_gen;break label_3;}oprt = jj_consume_token(AND);if (queries == null) {queries = new ArrayList<SrndQuery>();queries.add(q);}q = NotQuery();queries.add(q);}{if (true) return (queries == null) ? q : getAndQuery(queries, true , oprt);}throw new Error(""Missing return statement in function"");}
public final int get() {if (position == limit) {throw new BufferUnderflowException();}return backingArray[offset + position++];}","public AddJobFlowStepsRequest(String jobFlowId, java.util.List<StepConfig> steps) {setJobFlowId(jobFlowId);setSteps(steps);}"
"1476","public String toFormulaString(String[] operands) {StringBuilder buffer = new StringBuilder();buffer.append( operands[0] );buffer.append(""<>"");buffer.append( operands[1] );return buffer.toString();}
public static String toHex(short value) {StringBuilder sb = new StringBuilder(4);writeHex(sb, value & 0xFFFF, 4, """");return sb.toString();}
public static String stripSegmentName(String filename) {int idx = indexOfSegmentName(filename);if (idx != -1) {filename = filename.substring(idx);}return filename;}
public InvalidMarkException(String detailMessage) {super(detailMessage);}","public V nextElement() { return nextEntryNotFailFast().value; }"
"1481","public boolean equals(Object o) {if (o instanceof PersonIdent) {final PersonIdent p = (PersonIdent) o;return getName().equals(p.getName())&& getEmailAddress().equals(p.getEmailAddress())&& when / 1000L == p.when / 1000L;}return false;}
public DetectKeyPhrasesResult detectKeyPhrases(DetectKeyPhrasesRequest request) {request = beforeClientExecution(request);return executeDetectKeyPhrases(request);}
public long skip(long byteCount) throws IOException {return Streams.skipByReading(this, byteCount);}
public ByteBuffer get(byte[] dst) {return get(dst, 0, dst.length);}","public void setHideObj(short hide){field_1_hide_obj = hide;}"
"1486","public final void setLastColumnRaw(short column) {field_4_last_column = column;}
public static PrintCellComments valueOf(int value){return _table[value];}
public DBInstance deleteDBInstance(DeleteDBInstanceRequest request) {request = beforeClientExecution(request);return executeDeleteDBInstance(request);}
public String require(Map<String,String> args, String name) {String s = args.remove(name);if (s == null) {throw new IllegalArgumentException(""Configuration Error: missing parameter '"" + name + ""'"");}return s;}","public CompositeReaderContext build() {return (CompositeReaderContext) build(null, reader, 0, 0);}"
"1491","public GetImageLayerRequest() {super(""cr"", ""2016-06-07"", ""GetImageLayer"", ""cr"");setUriPattern(""/repos/[RepoNamespace]/[RepoName]/tags/[Tag]/layers"");setMethod(MethodType.GET);}
public ParameterNameValue(String parameterName) {setParameterName(parameterName);}
public CreateDirectConnectGatewayAssociationProposalResult createDirectConnectGatewayAssociationProposal(CreateDirectConnectGatewayAssociationProposalRequest request) {request = beforeClientExecution(request);return executeCreateDirectConnectGatewayAssociationProposal(request);}
public ListResourceDelegatesResult listResourceDelegates(ListResourceDelegatesRequest request) {request = beforeClientExecution(request);return executeListResourceDelegates(request);}","public ValueEval evaluate(int srcRowIndex, int srcColumnIndex, ValueEval numberVE, ValueEval placesVE) {ValueEval veText1;try {veText1 = OperandResolver.getSingleValue(numberVE, srcRowIndex, srcColumnIndex);} catch (EvaluationException e) {return e.getErrorEval();}String strText1 = OperandResolver.coerceValueToString(veText1);Double number = OperandResolver.parseDouble(strText1);if (number == null) {return ErrorEval.VALUE_INVALID;}if (number.longValue() < MIN_VALUE || number.longValue() > MAX_VALUE) {return ErrorEval.NUM_ERROR;}int placesNumber;if (number < 0 || placesVE == null) {placesNumber = DEFAULT_PLACES_VALUE;} else {ValueEval placesValueEval;try {placesValueEval = OperandResolver.getSingleValue(placesVE, srcRowIndex, srcColumnIndex);} catch (EvaluationException e) {return e.getErrorEval();}String placesStr = OperandResolver.coerceValueToString(placesValueEval);Double placesNumberDouble = OperandResolver.parseDouble(placesStr);if (placesNumberDouble == null) {return ErrorEval.VALUE_INVALID;}placesNumber = placesNumberDouble.intValue();if (placesNumber < 0 || placesNumber == 0) {return ErrorEval.NUM_ERROR;}}String binary = Integer.toBinaryString(number.intValue());if (binary.length() > DEFAULT_PLACES_VALUE) {binary = binary.substring(binary.length() - DEFAULT_PLACES_VALUE);}if (binary.length() > placesNumber) {return ErrorEval.NUM_ERROR;}return new StringEval(binary);}"
"1496","public static int checkHeaderNoMagic(DataInput in, String codec, int minVersion, int maxVersion) throws IOException {final String actualCodec = in.readString();if (!actualCodec.equals(codec)) {throw new CorruptIndexException(""codec mismatch: actual codec="" + actualCodec + "" vs expected codec="" + codec, in);}final int actualVersion = in.readInt();if (actualVersion < minVersion) {throw new IndexFormatTooOldException(in, actualVersion, minVersion, maxVersion);}if (actualVersion > maxVersion) {throw new IndexFormatTooNewException(in, actualVersion, minVersion, maxVersion);}return actualVersion;}
public DescribeDefaultParametersResult describeDefaultParameters(DescribeDefaultParametersRequest request) {request = beforeClientExecution(request);return executeDescribeDefaultParameters(request);}
public SimpleSpanFragmenter(QueryScorer queryScorer, int fragmentSize) {this.fragmentSize = fragmentSize;this.queryScorer = queryScorer;}
public CreateApplicationResult createApplication(CreateApplicationRequest request) {request = beforeClientExecution(request);return executeCreateApplication(request);}","public URIish getURI() {return uri;}"
"1501","public DeleteConferenceProviderResult deleteConferenceProvider(DeleteConferenceProviderRequest request) {request = beforeClientExecution(request);return executeDeleteConferenceProvider(request);}
public byte setByte(final byte holder){return ( byte ) set(holder);}
public PipedInputStream(PipedOutputStream out) throws IOException {connect(out);}
public IntBuffer slice() {byteBuffer.limit(limit * SizeOf.INT);byteBuffer.position(position * SizeOf.INT);ByteBuffer bb = byteBuffer.slice().order(byteBuffer.order());IntBuffer result = new IntToByteBufferAdapter(bb);byteBuffer.clear();return result;}","public CreateDeploymentConfigResult createDeploymentConfig(CreateDeploymentConfigRequest request) {request = beforeClientExecution(request);return executeCreateDeploymentConfig(request);}"
"1506","public HSSFColor findColor(byte red, byte green, byte blue){byte[] b = _palette.getColor(PaletteRecord.FIRST_COLOR_INDEX);for (short i = PaletteRecord.FIRST_COLOR_INDEX; b != null;b = _palette.getColor(++i)){if (b[0] == red && b[1] == green && b[2] == blue){return new CustomColor(i, b);}}return null;}
public boolean canEncode(char c) {return implCanEncode(CharBuffer.wrap(new char[] { c }));}
public NetworkInterface(String macAddress) {mac = macAddress;path = ""/network/interfaces/macs/"" + mac + ""/"";}
public final boolean isAccept(int state) {return accept.get(state);}","public String toStringTree() {return toStringTree((List<String>)null);}"
"1511","public TermRangeQuery(String field, BytesRef lowerTerm, BytesRef upperTerm, boolean includeLower, boolean includeUpper) {super(new Term(field, lowerTerm), toAutomaton(lowerTerm, upperTerm, includeLower, includeUpper), Integer.MAX_VALUE, true);this.lowerTerm = lowerTerm;this.upperTerm = upperTerm;this.includeLower = includeLower;this.includeUpper = includeUpper;}
public ScanResult scan(String tableName, java.util.List<String> attributesToGet) {return scan(new ScanRequest().withTableName(tableName).withAttributesToGet(attributesToGet));}
public StopLabelingJobResult stopLabelingJob(StopLabelingJobRequest request) {request = beforeClientExecution(request);return executeStopLabelingJob(request);}
public PublishSchemaResult publishSchema(PublishSchemaRequest request) {request = beforeClientExecution(request);return executePublishSchema(request);}","public DeleteAttributesRequest(String domainName, String itemName, java.util.List<Attribute> attributes) {setDomainName(domainName);setItemName(itemName);setAttributes(attributes);}"
"1516","public ObjectId toObjectId() {return this;}
@Override public ListIterator<E> listIterator() {return listIterator(0);}
public ExternalBookBlock() {_externalBookRecord = SupBookRecord.createAddInFunctions();_externalNameRecords = new ExternalNameRecord[0];_crnBlocks = new CRNBlock[0];}
public String getFragment() {return decode(fragment);}","public String toString() {return slice.toString()+"":""+ postingsEnum;}"
"1521","public ByteBuffer putDouble(double value) {throw new ReadOnlyBufferException();}
public static InternalWorkbook createStubWorkbook(ExternSheetRecord[] externs,BoundSheetRecord[] bounds) {return createStubWorkbook(externs, bounds, null);}
public IndexDocumentsResult indexDocuments(IndexDocumentsRequest request) {request = beforeClientExecution(request);return executeIndexDocuments(request);}
public String toStringTree(Parser recog) {return Trees.toStringTree(this, recog);}","public FieldsConsumer fieldsConsumer(SegmentWriteState state)throws IOException {if (delegatePostingsFormat == null) {throw new UnsupportedOperationException(""Error - "" + getClass().getName()+ "" has been constructed without a choice of PostingsFormat"");}FieldsConsumer fieldsConsumer = delegatePostingsFormat.fieldsConsumer(state);return new BloomFilteredFieldsConsumer(fieldsConsumer, state);}"
"1526","public String toString() {return super.toString() + ""(\"""" + pattern.pattern() + ""\"")"";}
public static String stripTags(String buf, int start) {if (start>0) {buf = buf.substring(start);}return buf.replaceAll(""<[^>]*>"", "" "");}
public Reader create(Reader input) {return new JapaneseIterationMarkCharFilter(input, normalizeKanji, normalizeKana);}
public int getKeyProgressIncrement() {return mKeyProgressIncrement;}","public void ReInit(StandardSyntaxParserTokenManager tm) {token_source = tm;token = new Token();jj_ntk = -1;jj_gen = 0;for (int i = 0; i < 25; i++) jj_la1[i] = -1;for (int i = 0; i < jj_2_rtns.length; i++) jj_2_rtns[i] = new JJCalls();}"
"1531","public long copyUsingLengthPrefix(BytesRef bytes) {if (bytes.length >= 32768) {throw new IllegalArgumentException(""max length is 32767 (got "" + bytes.length + "")"");}if (upto + bytes.length + 2 > blockSize) {if (bytes.length + 2 > blockSize) {throw new IllegalArgumentException(""block size "" + blockSize + "" is too small to store length "" + bytes.length + "" bytes"");}if (currentBlock != null) {addBlock(currentBlock);}currentBlock = new byte[blockSize];upto = 0;}final long pointer = getPointer();if (bytes.length < 128) {currentBlock[upto++] = (byte) bytes.length;} else {currentBlock[upto++] = (byte) (0x80 | (bytes.length >> 8));currentBlock[upto++] = (byte) (bytes.length & 0xff);}System.arraycopy(bytes.bytes, bytes.offset, currentBlock, upto, bytes.length);upto += bytes.length;return pointer;}
public HighFreqTerm(int[] docIDs, int[] freqs, int[][] positions, byte[][][] payloads, long totalTermFreq) {this.docIDs = docIDs;this.freqs = freqs;this.positions = positions;this.payloads = payloads;this.totalTermFreq = totalTermFreq;}
public TermQuery newTermQuery(Term term) throws TooManyBasicQueries {checkMax();return new TermQuery(term);}
public HindiStemFilterFactory(Map<String,String> args) {super(args);if (!args.isEmpty()) {throw new IllegalArgumentException(""Unknown parameters: "" + args);}}","public DecisionInfo[] getDecisionInfo() {return atnSimulator.getDecisionInfo();}"
"1536","public String toString() {return ""<regexp field='"" + this.field + ""' term='"" + this.text + ""'/>"";}
public CreateStackSetResult createStackSet(CreateStackSetRequest request) {request = beforeClientExecution(request);return executeCreateStackSet(request);}
public SendMessagesResult sendMessages(SendMessagesRequest request) {request = beforeClientExecution(request);return executeSendMessages(request);}
public synchronized void setCharAt(int index, char ch) {super.setCharAt(index, ch);}","public CreateIntegrationResult createIntegration(CreateIntegrationRequest request) {request = beforeClientExecution(request);return executeCreateIntegration(request);}"
